COG	Cat
COG0024	J
COG0030	J
COG0037	J
COG0042	J
COG0048	J
COG0049	J
COG0050	J
COG0051	J
COG0052	J
COG0060	J
COG0064	J
COG0072	J
COG0073	J
COG0080	J
COG0081	J
COG0087	J
COG0088	J
COG0089	J
COG0090	J
COG0091	J
COG0092	J
COG0093	J
COG0094	J
COG0096	J
COG0097	J
COG0098	J
COG0099	J
COG0100	J
COG0101	J
COG0102	J
COG0103	J
COG0116	J
COG0124	J
COG0130	J
COG0143	J
COG0144	J
COG0154	J
COG0162	J
COG0172	J
COG0173	J
COG0180	J
COG0184	J
COG0185	J
COG0186	J
COG0193	J
COG0197	J
COG0198	J
COG0199	J
COG0200	J
COG0203	J
COG0211	J
COG0215	J
COG0216	J
COG0219	J
COG0220	J
COG0222	J
COG0223	J
COG0227	J
COG0228	J
COG0230	J
COG0231	J
COG0233	J
COG0238	J
COG0242	J
COG0244	J
COG0254	J
COG0255	J
COG0256	J
COG0257	J
COG0261	J
COG0264	J
COG0267	J
COG0268	J
COG0275	J
COG0290	J
COG0291	J
COG0292	J
COG0293	J
COG0313	J
COG0319	J
COG0324	J
COG0333	J
COG0335	J
COG0336	J
COG0343	J
COG0349	J
COG0357	J
COG0359	J
COG0360	J
COG0361	J
COG0423	J
COG0441	J
COG0442	J
COG0445	J
COG0456	J
COG0480	J
COG0481	J
COG0482	J
COG0486	J
COG0495	J
COG0522	J
COG0525	J
COG0532	J
COG0533	J
COG0539	J
COG0564	J
COG0565	J
COG0566	J
COG0585	J
COG0590	J
COG0594	J
COG0595	J
COG0603	J
COG0617	J
COG0621	J
COG0684	J
COG0689	J
COG0721	J
COG0724	J
COG0731	J
COG0742	J
COG0751	J
COG0752	J
COG0779	J
COG0780	J
COG0799	J
COG0802	J
COG0806	J
COG0809	J
COG0820	J
COG0826	J
COG0828	J
COG0858	J
COG1041	J
COG1054	J
COG1092	J
COG1093	J
COG1094	J
COG1103	J
COG1159	J
COG1160	J
COG1161	J
COG1162	J
COG1163	J
COG1179	J
COG1184	J
COG1185	J
COG1186	J
COG1187	J
COG1188	J
COG1189	J
COG1190	J
COG1206	J
COG1214	J
COG1234	J
COG1236	J
COG1243	J
COG1244	J
COG1245	J
COG1258	J
COG1303	J
COG1323	J
COG1341	J
COG1358	J
COG1369	J
COG1370	J
COG1371	J
COG1374	J
COG1383	J
COG1384	J
COG1385	J
COG1399	J
COG1412	J
COG1439	J
COG1444	J
COG1471	J
COG1490	J
COG1498	J
COG1499	J
COG1500	J
COG1503	J
COG1514	J
COG1530	J
COG1534	J
COG1537	J
COG1544	J
COG1549	J
COG1552	J
COG1561	J
COG1571	J
COG1576	J
COG1588	J
COG1590	J
COG1600	J
COG1601	J
COG1603	J
COG1617	J
COG1631	J
COG1632	J
COG1636	J
COG1643	J
COG1650	J
COG1658	J
COG1676	J
COG1690	J
COG1717	J
COG1720	J
COG1723	J
COG1727	J
COG1736	J
COG1738	J
COG1746	J
COG1756	J
COG1798	J
COG1813	J
COG1818	J
COG1825	J
COG1841	J
COG1859	J
COG1867	J
COG1889	J
COG1890	J
COG1901	J
COG1911	J
COG1921	J
COG1939	J
COG1944	J
COG1976	J
COG1990	J
COG1997	J
COG1998	J
COG2001	J
COG2004	J
COG2007	J
COG2016	J
COG2023	J
COG2024	J
COG2042	J
COG2051	J
COG2053	J
COG2058	J
COG2075	J
COG2092	J
COG2097	J
COG2102	J
COG2110	J
COG2117	J
COG2125	J
COG2126	J
COG2136	J
COG2139	J
COG2147	J
COG2157	J
COG2163	J
COG2167	J
COG2168	J
COG2174	J
COG2238	J
COG2260	J
COG2262	J
COG2264	J
COG2265	J
COG2269	J
COG2384	J
COG2419	J
COG2428	J
COG2451	J
COG2501	J
COG2511	J
COG2519	J
COG2520	J
COG2603	J
COG2606	J
COG2813	J
COG2835	J
COG2850	J
COG2867	J
COG2872	J
COG2890	J
COG2892	J
COG2904	J
COG2920	J
COG2923	J
COG2933	J
COG2961	J
COG3028	J
COG3036	J
COG3076	J
COG3078	J
COG3101	J
COG3129	J
COG3130	J
COG3148	J
COG3231	J
COG3270	J
COG3276	J
COG3277	J
COG3481	J
COG3642	J
COG3688	J
COG3719	J
COG4021	J
COG4080	J
COG4108	J
COG4121	J
COG4122	J
COG4123	J
COG4352	J
COG4394	J
COG4445	J
COG4575	J
COG4694	J
COG4725	J
COG4830	J
COG4901	J
COG4919	J
COG4937	J
COG5238	J
COG5256	J
COG5257	J
COG5270	J
COG5271	J
COG5324	J
COG5459	J
COG5758	J C
COG0252	J E
COG0189	J E H Q
COG4708	J F
COG0301	J H
COG0217	J K
COG0816	J K L
COG1208	J M
COG1293	J O
COG1670	J O
COG1899	J O
COG3751	J O
COG0425	J O H
COG1418	J R
COG2404	J T
COG1431	J V
COG3041	J V
COG4088	J V
COG4680	J V
COG0085	K
COG0086	K
COG0195	K
COG0202	K
COG0250	K
COG0557	K
COG0568	K
COG0571	K
COG0583	K
COG0640	K
COG0718	K
COG0781	K
COG0782	K
COG0789	K
COG0864	K
COG1095	K
COG1158	K
COG1191	K
COG1224	K
COG1278	K
COG1308	K
COG1309	K
COG1318	K
COG1321	K
COG1327	K
COG1329	K
COG1356	K
COG1378	K
COG1386	K
COG1395	K
COG1396	K
COG1405	K
COG1414	K
COG1420	K
COG1438	K
COG1460	K
COG1476	K
COG1481	K
COG1497	K
COG1508	K
COG1510	K
COG1522	K
COG1581	K
COG1594	K
COG1595	K
COG1609	K
COG1644	K
COG1654	K
COG1675	K
COG1678	K
COG1693	K
COG1695	K
COG1709	K
COG1725	K
COG1733	K
COG1734	K
COG1737	K
COG1758	K
COG1761	K
COG1777	K
COG1802	K
COG1846	K
COG1937	K
COG1954	K
COG1958	K
COG1959	K
COG1996	K
COG2005	K
COG2012	K
COG2093	K
COG2101	K
COG2183	K
COG2186	K
COG2188	K
COG2207	K
COG2214	K
COG2315	K
COG2344	K
COG2345	K
COG2378	K
COG2390	K
COG2508	K
COG2522	K
COG2524	K
COG2732	K
COG2739	K
COG2771	K
COG2865	K
COG2901	K
COG2909	K
COG2916	K
COG2944	K
COG2964	K
COG2973	K
COG3070	K
COG3160	K
COG3177	K
COG3226	K
COG3284	K
COG3327	K
COG3343	K
